tick,event,task
271,ISR_EXIT,idle
271,ISR_ENTER,idle
272,ISR_EXIT,idle
272,ISR_ENTER,idle
273,ISR_EXIT,idle
273,ISR_ENTER,idle
274,ISR_EXIT,idle
274,ISR_ENTER,idle
275,ISR_EXIT,idle
275,ISR_ENTER,idle
276,ISR_EXIT,idle
276,ISR_ENTER,idle
277,ISR_EXIT,idle
277,ISR_ENTER,idle
278,ISR_EXIT,idle
278,ISR_ENTER,idle
279,ISR_EXIT,idle
279,ISR_ENTER,idle
280,THREAD_READY,task2
280,SWITCH,task2
280,ISR_EXIT,idle
280,SEM_WAIT,task2
280,SEM_WAIT,task2
280,SEM_SIGNAL,task2
280,SEM_SIGNAL,task2
280,SWITCH,idle
280,ISR_ENTER,idle
281,ISR_EXIT,idle
281,ISR_ENTER,idle
282,ISR_EXIT,idle
282,ISR_ENTER,idle
283,ISR_EXIT,idle
283,ISR_ENTER,idle
284,ISR_EXIT,idle
284,ISR_ENTER,idle
285,ISR_EXIT,idle
285,ISR_ENTER,idle
286,ISR_EXIT,idle
286,ISR_ENTER,idle
287,ISR_EXIT,idle
287,ISR_ENTER,idle
288,ISR_EXIT,idle
288,ISR_ENTER,idle
289,ISR_EXIT,idle
289,ISR_ENTER,idle
290,ISR_EXIT,idle
290,ISR_ENTER,idle
291,ISR_EXIT,idle
291,ISR_ENTER,idle
292,ISR_EXIT,idle
292,ISR_ENTER,idle
293,ISR_EXIT,idle
293,ISR_ENTER,idle
294,ISR_EXIT,idle
294,ISR_ENTER,idle
295,ISR_EXIT,idle
295,ISR_ENTER,idle
296,ISR_EXIT,idle
296,ISR_ENTER,idle
297,ISR_EXIT,idle
297,ISR_ENTER,idle
298,ISR_EXIT,idle
298,ISR_ENTER,idle
299,ISR_EXIT,idle
299,ISR_ENTER,idle
300,THREAD_READY,task1
300,THREAD_READY,task3
300,SWITCH,task1
300,ISR_EXIT,idle
300,SEM_WAIT,task1
300,SEM_WAIT,task1
300,SEM_SIGNAL,task1
300,SEM_SIGNAL,task1
300,SWITCH,task3
300,SWITCH,idle
300,ISR_ENTER,idle
301,ISR_EXIT,idle
301,ISR_ENTER,idle
302,ISR_EXIT,idle
302,ISR_ENTER,idle
303,ISR_EXIT,idle
303,ISR_ENTER,idle
304,ISR_EXIT,idle
304,ISR_ENTER,idle
305,ISR_EXIT,idle
305,ISR_ENTER,idle
306,ISR_EXIT,idle
306,ISR_ENTER,idle
307,ISR_EXIT,idle
307,ISR_ENTER,idle
308,ISR_EXIT,idle
308,ISR_ENTER,idle
309,ISR_EXIT,idle
309,ISR_ENTER,idle
310,ISR_EXIT,idle
310,ISR_ENTER,idle
311,ISR_EXIT,idle
311,ISR_ENTER,idle
312,ISR_EXIT,idle
312,ISR_ENTER,idle
313,ISR_EXIT,idle
313,ISR_ENTER,idle
314,ISR_EXIT,idle
314,ISR_ENTER,idle
315,THREAD_READY,task2
315,SWITCH,task2
315,ISR_EXIT,idle
315,SEM_WAIT,task2
315,SEM_WAIT,task2
315,SEM_SIGNAL,task2
315,SEM_SIGNAL,task2
315,SWITCH,idle
315,ISR_ENTER,idle
316,ISR_EXIT,idle
316,ISR_ENTER,idle
317,ISR_EXIT,idle
317,ISR_ENTER,idle
318,ISR_EXIT,idle
318,ISR_ENTER,idle
319,ISR_EXIT,idle
319,ISR_ENTER,idle
320,ISR_EXIT,idle
320,ISR_ENTER,idle
321,ISR_EXIT,idle
321,ISR_ENTER,idle
322,ISR_EXIT,idle
322,ISR_ENTER,idle
323,ISR_EXIT,idle
323,ISR_ENTER,idle
324,ISR_EXIT,idle
324,ISR_ENTER,idle
325,ISR_EXIT,idle
325,ISR_ENTER,idle
326,ISR_EXIT,idle
326,ISR_ENTER,idle
327,ISR_EXIT,idle
327,ISR_ENTER,idle
328,ISR_EXIT,idle
328,ISR_ENTER,idle
329,ISR_EXIT,idle
329,ISR_ENTER,idle
330,THREAD_READY,task1
330,SWITCH,task1
330,ISR_EXIT,idle
330,SEM_WAIT,task1
330,SEM_WAIT,task1
330,SEM_SIGNAL,task1
330,SEM_SIGNAL,task1
330,SWITCH,idle
330,ISR_ENTER,idle
331,ISR_EXIT,idle
331,ISR_ENTER,idle
332,ISR_EXIT,idle
332,ISR_ENTER,idle
333,ISR_EXIT,idle
333,ISR_ENTER,idle
334,ISR_EXIT,idle
334,ISR_ENTER,idle
335,ISR_EXIT,idle
335,ISR_ENTER,idle
336,ISR_EXIT,idle
336,ISR_ENTER,idle
337,ISR_EXIT,idle
337,ISR_ENTER,idle
338,ISR_EXIT,idle
338,ISR_ENTER,idle
339,ISR_EXIT,idle
339,ISR_ENTER,idle
340,ISR_EXIT,idle
340,ISR_ENTER,idle
341,ISR_EXIT,idle
341,ISR_ENTER,idle
342,ISR_EXIT,idle
342,ISR_ENTER,idle
343,ISR_EXIT,idle
343,ISR_ENTER,idle
344,ISR_EXIT,idle
344,ISR_ENTER,idle
345,ISR_EXIT,idle
345,ISR_ENTER,idle
346,ISR_EXIT,idle
346,ISR_ENTER,idle
347,ISR_EXIT,idle
347,ISR_ENTER,idle
348,ISR_EXIT,idle
348,ISR_ENTER,idle
349,ISR_EXIT,idle
349,ISR_ENTER,idle
350,THREAD_READY,task2
350,THREAD_READY,task3
350,SWITCH,task2
350,ISR_EXIT,idle
350,SEM_WAIT,task2
350,SEM_WAIT,task2
350,SEM_SIGNAL,task2
350,SEM_SIGNAL,task2
350,SWITCH,task3
350,SWITCH,idle
350,ISR_ENTER,idle
351,ISR_EXIT,idle
351,ISR_ENTER,idle
352,ISR_EXIT,idle
352,ISR_ENTER,idle
353,ISR_EXIT,idle
353,ISR_ENTER,idle
354,ISR_EXIT,idle
354,ISR_ENTER,idle
355,ISR_EXIT,idle
355,ISR_ENTER,idle
356,ISR_EXIT,idle
356,ISR_ENTER,idle
357,ISR_EXIT,idle
357,ISR_ENTER,idle
358,ISR_EXIT,idle
358,ISR_ENTER,idle
359,ISR_EXIT,idle
359,ISR_ENTER,idle
360,THREAD_READY,task1
360,SWITCH,task1
360,ISR_EXIT,idle
360,SEM_WAIT,task1
360,SEM_WAIT,task1
360,SEM_SIGNAL,task1
360,SEM_SIGNAL,task1
360,SWITCH,idle
360,ISR_ENTER,idle
361,ISR_EXIT,idle
361,ISR_ENTER,idle
362,ISR_EXIT,idle
362,ISR_ENTER,idle
363,ISR_EXIT,idle
363,ISR_ENTER,idle
364,ISR_EXIT,idle
364,ISR_ENTER,idle
365,ISR_EXIT,idle
365,ISR_ENTER,idle
366,ISR_EXIT,idle
366,ISR_ENTER,idle
367,ISR_EXIT,idle
367,ISR_ENTER,idle
368,ISR_EXIT,idle
368,ISR_ENTER,idle
369,ISR_EXIT,idle
369,ISR_ENTER,idle
370,ISR_EXIT,idle
370,ISR_ENTER,idle
371,ISR_EXIT,idle
371,ISR_ENTER,idle
372,ISR_EXIT,idle
372,ISR_ENTER,idle
373,ISR_EXIT,idle
373,ISR_ENTER,idle
374,ISR_EXIT,idle
374,ISR_ENTER,idle
375,ISR_EXIT,idle
375,ISR_ENTER,idle
376,ISR_EXIT,idle
376,ISR_ENTER,idle
377,ISR_EXIT,idle
377,ISR_ENTER,idle
378,ISR_EXIT,idle
378,ISR_ENTER,idle
379,ISR_EXIT,idle
379,ISR_ENTER,idle
380,ISR_EXIT,idle
380,ISR_ENTER,idle
381,ISR_EXIT,idle
381,ISR_ENTER,idle
382,ISR_EXIT,idle
382,ISR_ENTER,idle
383,ISR_EXIT,idle
383,ISR_ENTER,idle
384,ISR_EXIT,idle
384,ISR_ENTER,idle
385,THREAD_READY,task2
385,SWITCH,task2
385,ISR_EXIT,idle
385,SEM_WAIT,task2
385,SEM_WAIT,task2
385,SEM_SIGNAL,task2
385,SEM_SIGNAL,task2
385,SWITCH,idle
385,ISR_ENTER,idle
386,ISR_EXIT,idle
386,ISR_ENTER,idle
387,ISR_EXIT,idle
387,ISR_ENTER,idle
388,ISR_EXIT,idle
388,ISR_ENTER,idle
389,ISR_EXIT,idle
389,ISR_ENTER,idle
390,THREAD_READY,task1
390,SWITCH,task1
390,ISR_EXIT,idle
390,SEM_WAIT,task1
390,SEM_WAIT,task1
390,SEM_SIGNAL,task1
390,SEM_SIGNAL,task1
390,SWITCH,idle
390,ISR_ENTER,idle
391,ISR_EXIT,idle
391,ISR_ENTER,idle
392,ISR_EXIT,idle
392,ISR_ENTER,idle
393,ISR_EXIT,idle
393,ISR_ENTER,idle
394,ISR_EXIT,idle
394,ISR_ENTER,idle
395,ISR_EXIT,idle
395,ISR_ENTER,idle
396,ISR_EXIT,idle
396,ISR_ENTER,idle
397,ISR_EXIT,idle
397,ISR_ENTER,idle
398,ISR_EXIT,idle
398,ISR_ENTER,idle
399,ISR_EXIT,idle
399,ISR_ENTER,idle
400,THREAD_READY,task3
400,SWITCH,task3
400,ISR_EXIT,idle
400,SWITCH,idle
400,ISR_ENTER,idle
401,ISR_EXIT,idle
401,ISR_ENTER,idle
402,ISR_EXIT,idle
402,ISR_ENTER,idle
403,ISR_EXIT,idle
